timestamp,close,long_signal,short_signal
2025-03-11 17:45:00,124.06,False,False
2025-03-11 18:00:00,127.02,False,False
2025-03-11 18:15:00,126.42,False,False
2025-03-11 18:30:00,126.77,False,False
2025-03-11 18:45:00,127.66,False,False
2025-03-11 19:00:00,127.13,False,False
2025-03-11 19:15:00,127.62,False,False
2025-03-11 19:30:00,127.69,False,False
2025-03-11 19:45:00,128.15,False,False
2025-03-11 20:00:00,127.12,False,False
2025-03-11 20:15:00,126.98,False,False
2025-03-11 20:30:00,127.05,False,False
2025-03-11 20:45:00,126.55,False,False
2025-03-11 21:00:00,127.27,False,False
2025-03-11 21:15:00,127.27,False,False
2025-03-11 21:30:00,126.15,False,False
2025-03-11 21:45:00,126.04,False,False
2025-03-11 22:00:00,126.46,False,False
2025-03-11 22:15:00,126.26,False,False
2025-03-11 22:30:00,126.1,False,False
2025-03-11 22:45:00,126.2,False,False
2025-03-11 23:00:00,125.67,False,False
2025-03-11 23:15:00,125.42,False,False
2025-03-11 23:30:00,125.47,False,False
2025-03-11 23:45:00,125.35,False,False
2025-03-12 00:00:00,125.43,False,False
2025-03-12 00:15:00,125.57,False,False
2025-03-12 00:30:00,124.81,False,False
2025-03-12 00:45:00,125.12,False,False
2025-03-12 01:00:00,125.62,False,False
2025-03-12 01:15:00,125.81,False,False
2025-03-12 01:30:00,125.86,False,False
2025-03-12 01:45:00,126.15,False,False
2025-03-12 02:00:00,125.62,False,False
2025-03-12 02:15:00,124.8,False,False
2025-03-12 02:30:00,124.05,False,False
2025-03-12 02:45:00,123.77,False,False
2025-03-12 03:00:00,123.93,False,False
2025-03-12 03:15:00,123.56,False,False
2025-03-12 03:30:00,123.05,False,False
2025-03-12 03:45:00,122.53,False,False
2025-03-12 04:00:00,122.7,False,False
2025-03-12 04:15:00,121.71,False,False
2025-03-12 04:30:00,121.34,False,False
2025-03-12 04:45:00,122.19,False,False
2025-03-12 05:00:00,122.27,False,False
2025-03-12 05:15:00,122.27,False,False
2025-03-12 05:30:00,122.16,False,False
2025-03-12 05:45:00,122.07,False,False
2025-03-12 06:00:00,121.95,False,False
2025-03-12 06:15:00,122.49,False,False
2025-03-12 06:30:00,122.08,False,False
2025-03-12 06:45:00,122.07,False,False
2025-03-12 07:00:00,122.5,False,False
2025-03-12 07:15:00,122.99,False,False
2025-03-12 07:30:00,122.75,False,False
2025-03-12 07:45:00,123.19,False,False
2025-03-12 08:00:00,124.56,False,False
2025-03-12 08:15:00,124.24,False,False
2025-03-12 08:30:00,125.19,False,False
2025-03-12 08:45:00,125.42,False,False
2025-03-12 09:00:00,124.82,False,False
2025-03-12 09:15:00,123.65,False,False
2025-03-12 09:30:00,123.99,False,False
2025-03-12 09:45:00,124.6,False,False
2025-03-12 10:00:00,124.28,False,False
2025-03-12 10:15:00,124.05,False,False
2025-03-12 10:30:00,123.84,False,False
2025-03-12 10:45:00,124.5,False,False
2025-03-12 11:00:00,125.46,False,False
2025-03-12 11:15:00,125.76,False,False
2025-03-12 11:30:00,126.35,False,False
2025-03-12 11:45:00,126.76,False,False
2025-03-12 12:00:00,126.46,False,False
2025-03-12 12:15:00,128.2,False,False
2025-03-12 12:30:00,129.6,False,False
2025-03-12 12:45:00,129.5,False,False
2025-03-12 13:00:00,128.59,False,False
2025-03-12 13:15:00,127.74,False,False
2025-03-12 13:30:00,127.58,False,False
2025-03-12 13:45:00,125.9,False,False
2025-03-12 14:00:00,125.36,False,False
2025-03-12 14:15:00,125.5,False,False
2025-03-12 14:30:00,124.81,False,False
2025-03-12 14:45:00,124.96,False,False
